Shot,Lineage,X,Y,Z,SOX2,POU5F1,TFAP2C,TFAP2A,VTCN1,T,MIXL1,OTX2
234_H,Am_CS6,-183.134909,-86.9989948,-145.309691,0,0.340943327,2.4389974,0.733999307,1.86420984,0,0,0
240_H,Am_CS6,-108.2357,73.9542318,-65.0605464,0.011917203,2.10036125,1.323715,1.05855176,2.99221785,0.005976354,0,0
243_D,Am_CS6,-18.3142485,195.449761,-1.71699954,0,2.04853314,2.44686609,0.348763648,2.36629597,0,0.038974727,0
243_F,Am_CS6,-59.9274835,149.447771,-11.6172148,0.00823096,1.98304282,1.83625847,1.47901487,3.31828906,0.02449238,0.497536308,0
243_H,Am_CS6,-97.1811376,92.4208253,-19.1785243,0.009965771,2.03606031,1.51414222,1.13889205,2.85390747,0,0,0
243_L,Am_CS6,-138.028717,-23.3412954,-13.1080176,0.364277213,1.42243224,2.16633256,0.696409549,2.31966155,0.132575791,0,0
243_N,Am_CS6,-166.923834,-87.9367202,-23.466308,0.062592385,1.22081041,2.30042277,1.27639921,0.709751026,0.53679793,0.2798747,0
246_F,Am_CS6,-100.231375,138.171625,40.7798706,0,2.16875258,1.57431993,1.04046155,2.48350057,0,0,0
246_J,Am_CS6,-267.600479,-117.470021,34.5040392,0,0.945360221,0.933531685,0.216814683,2.56841767,0,0,0
249_V,Am_CS6,-166.183864,-190.578679,92.804074,0.63027633,2.36860999,1.87533015,0,0,0,0,0
255_C,Am_CS6_PGC,202.73273,232.962562,169.862284,0.171636737,2.78402228,1.45916066,0.624944748,0,0.807651818,0.5687218,0.008475187
255_E,Am_CS6,155.749993,219.945798,172.24762,0,3.65319192,0.020861709,0.010485255,0,0.041297086,0,0
255_M,Am_CS6,-73.2771584,69.5830502,180.527882,0.441625069,2.35436998,1.46944415,0.015305398,0,0.030380068,0.030380068,1.02016755
237_E,Am_CS6,-81.6069314,74.8240126,-130.488193,0.214966278,2.58977348,2.14783867,0,2.25524137,0.782580777,1.49501529,0
234_AE,Stalk_CS6,150.750292,135.248742,-167.203035,0,1.37808083,0,0,0,0,0,0
234_AI,Stalk_CS6,40.9380801,168.957462,-167.716483,0,1.69412243,1.87421872,0.302978318,0,1.04043225,0,0
237_AD,Stalk_CS6,108.067958,108.258072,-114.489826,0,1.35185583,0.751535296,0,0,0.173902083,0.011561825,0
237_AF,Stalk_CS6,142.924561,96.7925266,-101.481128,0,1.2296215,0.016781029,0,0.016781029,0.08122334,0.126968251,0
246_AG,Stalk_CS6,246.444844,130.646123,30.4902138,0,1.67952937,0,0,0,0.197954079,0.127401474,0
246_AI,Stalk_CS6,219.830584,157.060404,33.7304032,0,2.20450216,0,0,0,0.018866331,1.89129146,0
234_AF,Stalk_CS6,154.87535,156.469825,-160.464178,0,1.7680743,0.032964838,0,0.032964838,3.14645255,0,0
240_AL,Stalk_CS6,196.317665,173.487177,-70.5980427,0.047344047,2.81300486,0.035716509,0,0,0.070201218,0.02395218,0.02395218
246_AF,Stalk_CS6,273.86547,196.038535,34.0937796,0,2.16223449,0,0,0,0.707989969,0.156009417,0
246_AJ,Stalk_CS6,230.71506,224.190862,29.2147546,0.006813965,1.45598575,0.013581814,0,0,0.955477784,0.006813965,0
